claim,v1.3.6,v1.3.7,delta,reason
Label conformal material response,11/2617,343/2700,+332 fires,aligned label-geometry sensitivity; the executed original geometry remains separately reported
Label union material response,43/2617,1183/2700,+1140 fires,aligned label-geometry sensitivity; the executed original geometry remains separately reported
P0 material altered results served (I_X),7008/7008,7008/7008,+0,corrected JSD coordinates and thresholds
P1 material altered results served (I_X),4429/7008,4429/7008,+0,corrected JSD coordinates and thresholds
P2 material altered results served (I_X),4496/7008,4496/7008,+0,corrected JSD coordinates and thresholds
P3 material altered results served (I_X),0/7008,0/7008,+0,corrected JSD coordinates and thresholds
P0 material altered results served (I_XF),7008/7008,7008/7008,+0,corrected JSD coordinates and thresholds
P1 material altered results served (I_XF),4231/7008,4233/7008,+2,corrected JSD coordinates and thresholds
P2 material altered results served (I_XF),4365/7008,4368/7008,+3,corrected JSD coordinates and thresholds
P3 material altered results served (I_XF),0/7008,0/7008,+0,corrected JSD coordinates and thresholds
P0 material altered results served (I_Ym),7008/7008,7008/7008,+0,corrected JSD coordinates and thresholds
P1 material altered results served (I_Ym),7008/7008,7008/7008,+0,corrected JSD coordinates and thresholds
P2 material altered results served (I_Ym),7008/7008,7008/7008,+0,corrected JSD coordinates and thresholds
P3 material altered results served (I_Ym),0/7008,0/7008,+0,corrected JSD coordinates and thresholds
P0 material altered results served (I_XFY),7008/7008,7008/7008,+0,corrected JSD coordinates and thresholds
P1 material altered results served (I_XFY),4180/7008,4182/7008,+2,corrected JSD coordinates and thresholds
P2 material altered results served (I_XFY),4390/7008,4394/7008,+4,corrected JSD coordinates and thresholds
P3 material altered results served (I_XFY),4390/7008,4394/7008,+4,corrected JSD coordinates and thresholds
P0 material altered results served (I_XFY_trusted),7008/7008,7008/7008,+0,exact trusted-reference decisions; JSD correction cannot remove exact blocking
P1 material altered results served (I_XFY_trusted),0/7008,0/7008,+0,exact trusted-reference decisions; JSD correction cannot remove exact blocking
P2 material altered results served (I_XFY_trusted),0/7008,0/7008,+0,exact trusted-reference decisions; JSD correction cannot remove exact blocking
P3 material altered results served (I_XFY_trusted),0/7008,0/7008,+0,exact trusted-reference decisions; JSD correction cannot remove exact blocking
Superseded asymmetric-rule material results served (I_X),4494/7008,4490/7008,-4,"descriptive comparison only; corrected JSD coordinates, no rule selection"
Superseded asymmetric-rule material results served (I_XF),4327/7008,4329/7008,+2,"descriptive comparison only; corrected JSD coordinates, no rule selection"
Superseded asymmetric-rule material results served (I_Ym),7008/7008,7008/7008,+0,"descriptive comparison only; corrected JSD coordinates, no rule selection"
Superseded asymmetric-rule material results served (I_XFY),4322/7008,4325/7008,+3,"descriptive comparison only; corrected JSD coordinates, no rule selection"
Superseded asymmetric-rule material results served (I_XFY_trusted),0/7008,0/7008,+0,"descriptive comparison only; corrected JSD coordinates, no rule selection"
Gate F Union clean response (I_X),1500/12000 (0.125),1478/12000 (0.123),-22,same disjoint clean-evaluation draws; descriptive because the executed design violates exchangeability
Gate F Superseded asymmetric family clean response (I_X),733/12000 (0.061),755/12000 (0.063),+22,same disjoint clean-evaluation draws; descriptive because the executed design violates exchangeability
Gate F Conformal family clean response (I_X),672/12000 (0.056),677/12000 (0.056),+5,same disjoint clean-evaluation draws; descriptive because the executed design violates exchangeability
